Gaps_in_education,Gaps_in_experience,Percentage_of_marks,Experience,Age,Age_of_kids,Salary,Salary_as_compared_to_experience,Salary_as_compared_with_the_industry_standards,Classification_of_companies,Since_howlong_is_he.inthe_current_company,Since_howlong_is_he.inthe_current_location,is_home_town_as_work_location,Canditate_is_finikey_about_contract_job,Would_join_as_a_contractor_or_not.Target.,ED_code,year_code,Mas_code,exp_code,org_code
0,0,76,3,30,10,6,1,1,3,1.5,1.5,0,0,0,10,20,0,1,2
0,1,76,1.9,28,10,6,1,1,2,1.8,1.8,1,1,1,1,9,1,1,2
0,0,76,13,35,9,30,1,1,2,12,12,1,1,1,6,9,0,1,2
0,0,78,3.7,27,9,8,1,0,2,3.7,3.7,1,1,1,1,18,1,1,2
0,0,78,6,25,9,6,1,0,2,3,3,1,1,1,4,20,1,1,2
0,0,78,3,24,9,7,1,0,2,3,3,0,1,1,1,21,1,1,2
0,1,78,3.6,29,9,7,1,0,1,0.7,0.7,0,0,0,7,20,1,1,0
0,0,78,11,36,9,22,1,1,1,1.7,1.7,0,0,0,1,9,0,1,2
0,0,78,3.2,26,9,7,1,1,1,3.2,3.2,1,0,0,5,20,1,1,0
1,1,78,11,30,9,25,1,1,1,0.11,0.11,0,0,0,9,23,0,1,2
0,0,78,3,27,9,7,1,1,2,1.2,1.2,0,0,0,10,21,0,1,2
0,0,64,2,29,9,3,0,0,2,2,2,0,1,1,1,17,1,1,2
0,0,64,5,27,9,13,1,1,2,1.2,1.2,0,1,1,1,17,1,1,2
0,0,70,3.8,26,9,7,1,1,2,1,3.8,0,1,1,4,18,1,1,2
0,0,63,2.9,24,9,8,1,1,1,2.9,2.9,0,1,1,1,21,1,1,2
0,0,63,4.5,27,9,9,1,0,2,2.2,2.2,0,1,1,1,21,1,1,2
0,1,63,2.1,26,9,4,1,1,2,0.8,0.8,0,0,0,1,21,1,1,2
0,1,63,2,26,9,4,1,1,3,2,2,0,0,0,10,21,1,1,2
0,0,63,2.3,25,9,4.75,1,1,2,2.3,2.3,1,0,0,1,21,1,0,2
0,1,76,11,35,2,18,1,0,1,3.3,3.3,1,0,0,1,11,0,1,2
0,0,73,11,35,2,19.5,1,0,1,4.6,4.6,1,0,0,5,18,0,1,2
0,0,73,3,27,2,5,0,0,2,3,3,0,1,1,1,18,1,1,2
1,0,52,4.1,29,2,3,1,0,2,2.4,2.4,0,1,1,0,18,0,1,2
0,0,75,7,30,2,17,1,1,2,2,2,0,1,1,4,16,0,1,2
0,0,75,4.3,29,4,9,1,0,2,1,1,1,1,1,1,22,0,1,2
0,0,75,3,29,5,7,1,0,2,0.1,0.1,0,1,1,1,17,0,1,2
1,0,68.2,6.8,32,5,13.5,1,0,1,4,4,1,0,0,7,15,0,1,2
0,0,85.5,3.9,26,5,9,1,0,1,1.6,1.6,0,0,0,1,20,1,1,2
0,1,64.9,4,29,5,8,1,1,3,1.3,1.3,1,0,0,4,18,1,1,0
1,1,78,2.11,26,5,5,1,1,2,0.1,0.1,1,0,0,4,18,1,1,2
0,0,78,2.9,25,5,5.5,1,1,3,1.7,1.7,1,0,0,10,20,1,1,2
0,0,78,2,25,5,4,1,1,2,2,2,1,1,1,4,20,1,1,2
0,0,80.16,6,29,1,11,1,0,2,2.1,2.1,0,1,1,1,16,0,0,2
0,0,80.16,4.5,30,1,9.7,1,0,2,4.5,4.5,1,1,1,1,16,1,1,2
0,0,80.16,3,29,1,8,1,1,2,2,2,0,1,1,10,18,1,1,2
0,1,80.16,10,43,18,20,1,0,2,1.4,1.4,0,1,1,0,4,0,1,2
0,0,80.16,4.8,27,18,9,1,1,1,2.1,2.1,1,0,0,1,18,1,1,2
0,0,80.16,3.9,26,18,7,1,1,2,1,1,1,0,0,1,20,1,1,0
0,0,80.16,3.5,25,18,7,1,1,1,3.5,3.5,1,0,0,1,20,1,1,2
0,0,66.3,3.11,26,18,7,1,1,3,0.11,0.11,0,0,0,1,20,1,1,2
0,0,64,5.3,31,18,10,1,1,1,2,2,0,0,0,1,14,0,1,3
0,0,64,7,29,4,16,1,1,2,2,2,0,1,1,0,16,0,1,2
0,0,60,2,30,2,5,1,0,1,2,2,0,1,1,1,18,0,1,2
0,0,50,11,33,7,21,1,0,2,6,11,1,1,1,0,12,0,1,2
0,0,78,20,59,25,60,1,1,1,16,16,1,1,1,6,0,0,1,2
0,0,78,7,35,7,13,1,0,2,3,5,0,1,1,6,17,0,1,2
0,0,78,2.7,27,7,4.25,1,1,2,2.7,2.7,0,0,0,1,17,1,0,2
