Educational_course,year,Gaps_in_education,Gaps_in_experience,Percentage_of_marks,Experience,Age,Marital_status,Age_of_kids,Salary,Salary_as_compared_to_experience,Salary_as_compared_with_the_industry_standards,Classification_of_companies,Type_of_experience,Resume_organization,Since_howlong_is_he.inthe_current_company,Since_howlong_is_he.inthe_current_location,is_home_town_as_work_location,Canditate_is_finikey_about_contract_job,Would_join_as_a_contractor_or_not.Target.
MCA,2010,yes,NaN,NaN,3.8,33,M,NaN,8,no,no,1,Service based,average,0.8,0.8,no,no,no
BE,NaN,NaN,no,NaN,12,35,M,NaN,26,yes,yes,2,Service based,good,5,5,no,yes,yes
Bsc,2006,NaN,no,NaN,11,33,M,NaN,23,yes,yes,1,Service based,good,4.6,11,yes,yes,yes
MBA,2011,yes,yes,NaN,14,35,M,NaN,34,yes,yes,2,Service based,good,1.1,8,no,yes,yes
MCA,2010,yes,yes,73,8.6,39,M,7,18,yes,yes,2,Service based,good,0.8,0.8,no,yes,yes
M.Tech,2013,no,no,NaN,4,29,S,NaN,10,yes,no,3,Service based,good,1.6,1.6,no,yes,yes
Msc,2012,no,yes,NaN,6.2,29,S,NaN,12.75,yes,yes,3,Service based,good,2.4,2.4,no,no,no
MCA,2016,no,no,NaN,3,25,S,NaN,6.75,yes,yes,3,Service based,good,3,3,no,no,no
B.Tech,2016,no,no,NaN,2.1,26,S,NaN,5,yes,yes,2,Service based,average,2.1,2.1,no,no,no
BE,2015,no,no,66,2.7,26,S,NaN,4,yes,yes,2,Service based,good,2.4,2.4,no,no,no
NaN,2015,no,no,NaN,2.7,26,S,NaN,4.25,yes,yes,3,Service based,good,1.9,1.9,no,no,no
B.Tech,NaN,NaN,no,NaN,10,33,M,3,21,yes,no,2,Service based,okay,4.9,4.9,no,yes,yes
B.Tech,2006,NaN,no,NaN,10,35,M,7,25,yes,yes,1,Service based,good,3.9,3.9,yes,yes,yes
BCA,2005,NaN,no,NaN,9,34,M,6,17,yes,no,2,Service based,good,3.3,3.3,no,yes,yes
BE,1995,NaN,no,NaN,16,45,M,17,45,yes,yes,2,Service based,good,9,9,yes,yes,yes
B.Tech,2014`,no,no,64,3.2,26,S,NaN,5,yes,no,1,Service based,good,0.3,0.3,no,yes,yes
BE,NaN,no,no,NaN,2.11,NaN,S,NaN,5,yes,no,1,Service based,okay,2.11,2.11,yes,no,no
BE,2014,no,yes,83.5,3.4,27,M,NaN,7.5,yes,no,1,Service based,okay,NaN,NaN,yes,no,no
MCA,2017,no,no,NaN,2.4,26,S,NaN,5,yes,no,3,Service based,good,1.1,1.1,no,no,no
MCA,2013,no,no,66,3.4,29,S,NaN,7.5,yes,yes,3,Service based,good,1,1,yes,no,no
ME,2014,yes,yes,76.86,6,32,M,NaN,8,yes,yes,3,Service based,good,0.7,0.7,yes,no,no
BE,NaN,NaN,no,NaN,12,34,M,NaN,24,yes,yes,1,Service based,good,1.3,1.3,no,yes,yes
B.Tech,2009,no,no,60,5.9,31,S,NaN,10,no,no,2,Service based,good,1.4,1.4,no,yes,yes
B.Tech,NaN,no,no,61,8,32,M,NaN,17,yes,yes,1,Service based,good,3,3,no,yes,yes
B.Tech,1996,NaN,no,NaN,20,43,M,NaN,45,yes,yes,2,Service based,good,2.11,2.11,no,yes,yes
BE,NaN,NaN,no,NaN,1.8,25,S,NaN,3,yes,yes,2,Service based,good,1.8,1.8,yes,yes,yes
MCA,2015,no,no,NaN,2.7,28,S,NaN,5,no,no,1,Service based,good,2.7,2.7,no,no,no
B.Tech,2011,no,no,NaN,6,30,S,NaN,12,yes,yes,2,Service based,good,3.6,3.6,no,no,no
Msc,2013,no,no,NaN,3.2,29,S,NaN,7,yes,yes,3,Service based,good,0.3,0.3,no,no,no
M.Tech,2012,no,yes,66.73,6,31,M,NaN,12,yes,yes,1,Service based,good,1.2,1.2,no,no,no
B.Tech,2004,no,yes,67.6,10.5,37,M,NaN,21,yes,yes,1,Service based,good,3.9,3.9,yes,no,no
MCA,NaN,NaN,no,NaN,5.6,29,S,NaN,14,yes,yes,3,Service based,good,3,5.6,no,yes,yes
NaN,NaN,NaN,no,NaN,7,31,M,NaN,12,yes,no,4,Service based,bad,0.1,0.1,no,yes,yes
M.Tech,2003,NaN,no,NaN,14,40,M,NaN,40,yes,yes,2,Service based,good,12,12,yes,yes,yes
BE,2006,no,no,NaN,10,34,M,NaN,25,yes,yes,2,Service based,good,5.3,10,yes,yes,yes
BE,2005,no,no,NaN,11.5,37,M,9,23,no,no,2,Service based,good,1.6,1.6,yes,yes,yes
BE,2015,no,no,61,5,32,M,2,10,yes,no,3,Service based,good,2.2,2.2,no,no,no
BE,2013,no,yes,56,5.3,31,M,2,11,yes,no,1,Service based,good,2,2,yes,no,no
B.Tech,NaN,no,yes,NaN,4,33,M,2,8.75,yes,no,1,Service based,good,1.1,1.1,yes,no,no
BE,2014,no,no,67,4.2,27,S,NaN,9,yes,yes,1,Service based,good,4.5,4.5,yes,no,no
Msc,2013,no,no,NaN,5.6,32,M,2,11,yes,yes,2,Product based,good,6,6,no,no,no
BE,NaN,NaN,no,NaN,7,35,M,6,13.5,yes,no,2,Service based,good,3.1,7,yes,yes,yes
BE,NaN,NaN,no,73,4.5,25,S,NaN,10,yes,no,2,Service based,good,1,1,no,yes,yes
Msc,2016,yes,no,74,3.9,27,S,NaN,7.3,no,no,1,Service based,good,2,2,no,yes,yes
NaN,NaN,NaN,no,NaN,4.8,28,S,NaN,11,yes,no,2,Service based,bad,4.8,4.8,yes,yes,yes
Msc,2003,no,no,74,13,38,M,10,27,yes,yes,2,Service based,good,11,11,no,yes,yes
